rule_name,J_final,F_final,Balance_final,rule_accuracy,avg_judge_injustice,extreme_event_rate,n_weeks_evaluated,n_seasons,Balance_process,Balance_comprehensive,base,delta,late_boost,protection
"Prot(b=0.35,δ=0.020,p=0.35)",0.7532410938480907,0.484375,0.5896031190147896,0.8333333333333334,0.22307030884837004,0.05782312925170068,294,32,0.5092178865187257,0.557449026016364,0.35,0.02,,0.35
"Prot(b=0.35,δ=0.025,p=0.20)",0.8405979801629442,0.3809119215413159,0.5242590193640668,0.8401360544217688,0.22307030884837004,0.05782312925170068,294,32,0.4544627462217187,0.4963405101071276,0.35,0.025,,0.2
"Prot(b=0.35,δ=0.025,p=0.25)",0.8405979801629442,0.3809119215413159,0.5242590193640668,0.8333333333333334,0.22307030884837004,0.05782312925170068,294,32,0.45278266213217455,0.4956684764713099,0.35,0.025,,0.25
"Prot(b=0.35,δ=0.025,p=0.30)",0.8405979801629442,0.3809119215413159,0.5242590193640668,0.8333333333333334,0.22307030884837004,0.05782312925170068,294,32,0.45278266213217455,0.4956684764713099,0.35,0.025,,0.3
"Prot(b=0.35,δ=0.025,p=0.35)",0.8405979801629442,0.3809119215413159,0.5242590193640668,0.8299319727891157,0.22307030884837004,0.05782312925170068,294,32,0.4519426200874024,0.49533245965340106,0.35,0.025,,0.35
"Prot(b=0.35,δ=0.030,p=0.20)",0.8818983312334624,0.32499999999999996,0.4749645434018747,0.8299319727891157,0.22307030884837004,0.05782312925170068,294,32,0.40944783449608835,0.4487578598395602,0.35,0.030000000000000002,,0.2
"Prot(b=0.35,δ=0.030,p=0.25)",0.8818983312334624,0.32499999999999996,0.4749645434018747,0.826530612244898,0.22307030884837004,0.05782312925170068,294,32,0.4086867790416346,0.4484534376577787,0.35,0.030000000000000002,,0.25
"Prot(b=0.35,δ=0.030,p=0.30)",0.8818983312334624,0.32499999999999996,0.4749645434018747,0.826530612244898,0.22307030884837004,0.05782312925170068,294,32,0.4086867790416346,0.4484534376577787,0.35,0.030000000000000002,,0.3
"Prot(b=0.35,δ=0.030,p=0.35)",0.8818983312334624,0.32499999999999996,0.4749645434018747,0.826530612244898,0.22307030884837004,0.05782312925170068,294,32,0.4086867790416346,0.4484534376577787,0.35,0.030000000000000002,,0.35
"Prot(b=0.35,δ=0.035,p=0.20)",0.8943983312334625,0.30000000000000004,0.4492965070845257,0.8163265306122449,0.22307030884837004,0.05782312925170068,294,32,0.3844407465345971,0.4233542028645542,0.35,0.035,,0.2
"Prot(b=0.35,δ=0.035,p=0.25)",0.8943983312334625,0.30000000000000004,0.4492965070845257,0.8129251700680272,0.22307030884837004,0.05782312925170068,294,32,0.38372082004295927,0.4230662322678991,0.35,0.035,,0.25
"Prot(b=0.35,δ=0.035,p=0.30)",0.8943983312334625,0.30000000000000004,0.4492965070845257,0.8129251700680272,0.22307030884837004,0.05782312925170068,294,32,0.38372082004295927,0.4230662322678991,0.35,0.035,,0.3
"Prot(b=0.35,δ=0.035,p=0.35)",0.8943983312334625,0.30000000000000004,0.4492965070845257,0.8129251700680272,0.22307030884837004,0.05782312925170068,294,32,0.38372082004295927,0.4230662322678991,0.35,0.035,,0.35
"Prot(b=0.40,δ=0.020,p=0.20)",0.8405979801629442,0.3809119215413159,0.5242590193640668,0.8333333333333334,0.22307030884837004,0.05782312925170068,294,32,0.45278266213217455,0.4956684764713099,0.39999999999999997,0.02,,0.2
"Prot(b=0.40,δ=0.020,p=0.25)",0.8405979801629442,0.3809119215413159,0.5242590193640668,0.8299319727891157,0.22307030884837004,0.05782312925170068,294,32,0.4519426200874024,0.49533245965340106,0.39999999999999997,0.02,,0.25
"Prot(b=0.40,δ=0.020,p=0.30)",0.8405979801629442,0.3809119215413159,0.5242590193640668,0.8299319727891157,0.22307030884837004,0.05782312925170068,294,32,0.4519426200874024,0.49533245965340106,0.39999999999999997,0.02,,0.3
"Prot(b=0.40,δ=0.020,p=0.35)",0.8405979801629442,0.3809119215413159,0.5242590193640668,0.8299319727891157,0.22307030884837004,0.05782312925170068,294,32,0.4519426200874024,0.49533245965340106,0.39999999999999997,0.02,,0.35
"Prot(b=0.40,δ=0.025,p=0.20)",0.8818983312334624,0.32499999999999996,0.4749645434018747,0.826530612244898,0.22307030884837004,0.05782312925170068,294,32,0.4086867790416346,0.4484534376577787,0.39999999999999997,0.025,,0.2
"Prot(b=0.40,δ=0.025,p=0.25)",0.8818983312334624,0.32499999999999996,0.4749645434018747,0.8231292517006803,0.22307030884837004,0.05782312925170068,294,32,0.407925723587181,0.4481490154759973,0.39999999999999997,0.025,,0.25
"Prot(b=0.40,δ=0.025,p=0.30)",0.8818983312334624,0.32499999999999996,0.4749645434018747,0.8231292517006803,0.22307030884837004,0.05782312925170068,294,32,0.407925723587181,0.4481490154759973,0.39999999999999997,0.025,,0.3
"Prot(b=0.40,δ=0.025,p=0.35)",0.8818983312334624,0.32499999999999996,0.4749645434018747,0.8231292517006803,0.22307030884837004,0.05782312925170068,294,32,0.407925723587181,0.4481490154759973,0.39999999999999997,0.025,,0.35
"Prot(b=0.40,δ=0.030,p=0.20)",0.9384864096921466,0.21250000000000002,0.3465346944272865,0.8027210884353742,0.22307030884837004,0.05782312925170068,294,32,0.29429149017116674,0.3256374127248386,0.39999999999999997,0.030000000000000002,,0.2
"Prot(b=0.40,δ=0.030,p=0.25)",0.9384864096921466,0.21250000000000002,0.3465346944272865,0.7993197278911565,0.22307030884837004,0.05782312925170068,294,32,0.2937362232085796,0.3254153059398038,0.39999999999999997,0.030000000000000002,,0.25
"Prot(b=0.40,δ=0.030,p=0.30)",0.9384864096921466,0.21250000000000002,0.3465346944272865,0.7993197278911565,0.22307030884837004,0.05782312925170068,294,32,0.2937362232085796,0.3254153059398038,0.39999999999999997,0.030000000000000002,,0.3
"Prot(b=0.40,δ=0.030,p=0.35)",0.9384864096921466,0.21250000000000002,0.3465346944272865,0.7993197278911565,0.22307030884837004,0.05782312925170068,294,32,0.2937362232085796,0.3254153059398038,0.39999999999999997,0.030000000000000002,,0.35
"Prot(b=0.40,δ=0.035,p=0.20)",0.9384864096921466,0.21250000000000002,0.3465346944272865,0.7925170068027211,0.22307030884837004,0.05782312925170068,294,32,0.29262568928340543,0.3249710923697341,0.39999999999999997,0.035,,0.2
