rule,params,judge_weight,J,F,J_std,F_std,n_seasons,base_weight,delta,log_strength,Balance
Static Rank,w=30%,0.3,0.11033620161313537,0.98125,0.6821158720953961,0.05829611908180511,32,,,,0.19836710572872585
Static Rank,w=32%,0.325,0.11033620161313537,0.98125,0.6821158720953961,0.05829611908180511,32,,,,0.19836710572872585
Static Rank,w=35%,0.35,0.24703713554039075,0.9156249999999999,0.6208514893214427,0.1371800254227998,32,,,,0.389095628248856
Static Rank,w=38%,0.375,0.258566272843088,0.9093749999999999,0.6136686453064425,0.14221325316228445,32,,,,0.4026464508664553
Static Rank,w=40%,0.4,0.3520558723900426,0.8620326891575486,0.5438041310001558,0.1667679766276594,32,,,,0.4999366269842426
Static Rank,w=43%,0.42500000000000004,0.39439881953850536,0.825,0.5340469549524666,0.206155281280883,32,,,,0.5336712167321508
Static Rank,w=45%,0.45,0.4433701235832565,0.7875,0.508274064021609,0.23014940799402464,32,,,,0.5673286975586149
Static Rank,w=48%,0.47500000000000003,0.4548992608859537,0.778125,0.5070511181547884,0.24332896328838458,32,,,,0.5741468328214006
Static Rank,w=50%,0.5,0.664751115828407,0.704330083488925,0.31199552220706456,0.25160504447400245,30,,,,0.68396850209068
Static Rank,w=52%,0.525,0.7452256379724255,0.49375,0.2961708082026291,0.48149344491903523,32,,,,0.593966736995826
Static Rank,w=55%,0.55,0.7941969420171766,0.4375,0.24962239795253005,0.509748712602592,32,,,,0.5641991142421293
Static Rank,w=58%,0.5750000000000001,0.8407609006242649,0.38125000000000003,0.20618794604095125,0.5620484298528019,32,,,,0.5246108572958679
Static Rank,w=60%,0.6000000000000001,0.8818983312334624,0.32499999999999996,0.13533056249573508,0.5994789404140899,32,,,,0.4749645434018747
Static Rank,w=62%,0.625,0.8818983312334624,0.32499999999999996,0.13533056249573508,0.5994789404140899,32,,,,0.4749645434018747
Static Rank,w=65%,0.6500000000000001,0.8818983312334624,0.32499999999999996,0.13533056249573508,0.5994789404140899,32,,,,0.4749645434018747
Static Rank,w=68%,0.675,0.9384864096921466,0.21250000000000002,0.08389515905005149,0.6632071697441154,32,,,,0.3465346944272865
Static Rank,w=70%,0.7000000000000001,0.9384864096921466,0.21250000000000002,0.08389515905005149,0.6632071697441154,32,,,,0.3465346944272865
Static Rank,w=73%,0.7250000000000001,0.9384864096921466,0.21250000000000002,0.08389515905005149,0.6632071697441154,32,,,,0.3465346944272865
Static Rank,w=75%,0.75,0.9527933247726216,0.18091192154131586,0.06615314273279216,0.6732333168125676,32,,,,0.30408551362843267
Static Rank,w=78%,0.7750000000000001,0.9562655469948438,0.1625,0.06562167043479111,0.6845390785046533,32,,,,0.27779395185197153
Static Rank,w=80%,0.8,0.9562655469948438,0.1625,0.06562167043479111,0.6845390785046533,32,,,,0.27779395185197153
Static Rank,w=83%,0.8250000000000002,0.9562655469948438,0.1625,0.06562167043479111,0.6845390785046533,32,,,,0.27779395185197153
Static Rank,w=85%,0.8500000000000001,0.9562655469948438,0.1625,0.06562167043479111,0.6845390785046533,32,,,,0.27779395185197153
Static Rank,w=88%,0.875,0.9562655469948438,0.1625,0.06562167043479111,0.6845390785046533,32,,,,0.27779395185197153
Static Rank,w=90%,0.9,0.9562655469948438,0.1625,0.06562167043479111,0.6845390785046533,32,,,,0.27779395185197153
Static Pct,w=30%,0.3,0.29781063594539303,0.815625,0.6690229591386553,0.36581191803302415,32,,,,0.4363104464831746
Static Pct,w=32%,0.325,0.31394806655459057,0.809375,0.6488858447961473,0.36431388852883445,32,,,,0.45241075111327766
Static Pct,w=35%,0.35,0.33633549716378813,0.784375,0.6346216679390666,0.37758225511138627,32,,,,0.4707962600869487
Static Pct,w=38%,0.375,0.3528056933104985,0.778125,0.6158259438023833,0.37561148062193206,32,,,,0.48548851222860145
Static Pct,w=40%,0.4,0.36530569331049845,0.765625,0.6206973503466353,0.418784979882278,32,,,,0.49461416662913893
Static Pct,w=43%,0.42500000000000004,0.37518781099852466,0.759375,0.6019323523208676,0.41672786008977125,32,,,,0.5022344130513862
Static Pct,w=45%,0.45,0.39165800714523497,0.7531249999999999,0.5898782455899774,0.4145663208402245,32,,,,0.5153246240248763
Static Pct,w=48%,0.47500000000000003,0.43528234059464244,0.715625,0.5959845596741231,0.42212955283301357,32,,,,0.5413101710802243
Static Pct,w=50%,0.5,0.4543704190533266,0.7062499999999999,0.5995546961644227,0.42200229560986985,32,,,,0.5529785671730085
Static Pct,w=52%,0.525,0.49187041905332657,0.6749999999999999,0.5864996182980972,0.4609772228646443,32,,,,0.569064957265473
Static Pct,w=55%,0.55,0.511546797550303,0.6593749999999999,0.5592345682078339,0.46088188223773774,32,,,,0.5761292855805357
Static Pct,w=58%,0.5750000000000001,0.5370539152383291,0.6375,0.5274315315657139,0.4539754949333719,32,,,,0.5829819580542167
Static Pct,w=60%,0.6000000000000001,0.5669443711139945,0.6031249999999999,0.5332874785146562,0.4475519348355004,32,,,,0.584475300315466
Static Pct,w=62%,0.625,0.5766947034834067,0.5874999999999999,0.5333315950880979,0.46080771477916904,32,,,,0.5820472073815903
Static Pct,w=65%,0.6500000000000001,0.6298658335573725,0.53125,0.5175498502623203,0.5064814285835167,32,,,,0.5763700986903046
Static Pct,w=68%,0.675,0.6855612451136623,0.490625,0.42782250406877703,0.5240225275453336,32,,,,0.5719391584373053
Static Pct,w=70%,0.7000000000000001,0.7293112451136623,0.440625,0.36895992131969196,0.5765519138594546,32,,,,0.5493509042833555
Static Pct,w=73%,0.7250000000000001,0.7418112451136623,0.428125,0.36433829391431216,0.5816111109452776,32,,,,0.5429149500569148
Static Pct,w=75%,0.75,0.7630028579066959,0.3875,0.35080769576936294,0.5867015851350668,32,,,,0.5139728339655044
Static Pct,w=78%,0.7750000000000001,0.7963161517749595,0.35,0.3252806280846048,0.6169481339626532,32,,,,0.4862718761251745
Static Pct,w=80%,0.8,0.8043316076506248,0.34062499999999996,0.32261360666154065,0.6153552708598505,32,,,,0.4785778810934758
Static Pct,w=83%,0.8250000000000002,0.8724860773227343,0.284375,0.184450712511023,0.6005775215365623,32,,,,0.4289421312339032
Static Pct,w=85%,0.8500000000000001,0.8889562734694446,0.271875,0.1781765288646781,0.6114707551265227,32,,,,0.416399854423231
Static Pct,w=88%,0.875,0.9062655469948437,0.234375,0.1559094555507674,0.629786360105552,32,,,,0.3724328193492849
Static Pct,w=90%,0.9,0.9218905469948437,0.21875,0.13849303001071153,0.6535659396725015,32,,,,0.35359703371869555
Dynamic,"b=40%,δ=0.01",,0.4418704190533266,0.7124999999999999,0.5963797818245906,0.42481613669916074,32,0.4,0.01,0.0,0.5454621291507996
Dynamic,"b=40%,δ=0.015",,0.4950766014035927,0.6718749999999999,0.5843589349732056,0.4590985562763185,32,0.4,0.015,0.0,0.5700829252608509
