Type,Knee_Judge_Weight,Knee_J,Knee_F,Balance_Score
Unweighted,0.5,0.664751115828407,0.704330083488925,0.6839685025902622
Weighted,0.5,0.5765028968153839,0.6222997138524254,0.5985265372811575
