rule,params,judge_weight,J,F,base_weight,delta,log_strength,Balance
Dynamic,"b=55%,δ=0.02",,0.7418112451136623,0.428125,0.55,0.02,0.0,0.5429144864662074
Dynamic,"b=55%,δ=0.025",,0.8043316076506248,0.34062499999999996,0.55,0.025,0.0,0.47857746352403924
Dynamic+Log,"b=45%,δ=0.01,α=0.1",,0.4950766014035927,0.6718749999999999,0.45,0.01,0.1,0.570082437226597
Dynamic+Log,"b=45%,δ=0.01,α=0.15",,0.511546797550303,0.6593749999999999,0.45,0.01,0.15,0.576128794042445
Dynamic+Log,"b=45%,δ=0.01,α=0.2",,0.5450693711139944,0.63125,0.45,0.01,0.2,0.5850022646294297
Dynamic+Log,"b=45%,δ=0.01,α=0.25",,0.5513193711139945,0.6187499999999999,0.45,0.01,0.25,0.5830911871599721
Dynamic+Log,"b=45%,δ=0.01,α=0.3",,0.5669443711139945,0.6031249999999999,0.45,0.01,0.3,0.5844748012934933
Dynamic+Log,"b=45%,δ=0.015,α=0.1",,0.5766947034834067,0.5874999999999999,0.45,0.015,0.1,0.5820467079250485
Dynamic+Log,"b=45%,δ=0.015,α=0.15",,0.5766947034834067,0.5874999999999999,0.45,0.015,0.15,0.5820467079250485
Dynamic+Log,"b=45%,δ=0.015,α=0.2",,0.5766947034834067,0.5874999999999999,0.45,0.015,0.2,0.5820467079250485
Dynamic+Log,"b=45%,δ=0.015,α=0.25",,0.5766947034834067,0.5874999999999999,0.45,0.015,0.25,0.5820467079250485
Dynamic+Log,"b=45%,δ=0.015,α=0.3",,0.606807558951978,0.5562499999999999,0.45,0.015,0.3,0.5804294238996688
Dynamic+Log,"b=45%,δ=0.02,α=0.1",,0.625557558951978,0.54375,0.45,0.02,0.1,0.5817915554898584
Dynamic+Log,"b=45%,δ=0.02,α=0.15",,0.6321456374106621,0.5375,0.45,0.02,0.15,0.5809930439511621
Dynamic+Log,"b=45%,δ=0.02,α=0.2",,0.6592089312789258,0.521875,0.45,0.02,0.2,0.5825570234625986
Dynamic+Log,"b=45%,δ=0.02,α=0.25",,0.6756791274256362,0.503125,0.45,0.02,0.25,0.57677228080681
Dynamic+Log,"b=45%,δ=0.02,α=0.3",,0.7293112451136623,0.440625,0.45,0.02,0.3,0.5493504351970387
Dynamic+Log,"b=45%,δ=0.025,α=0.1",,0.7418112451136623,0.428125,0.45,0.025,0.1,0.5429144864662074
Dynamic+Log,"b=45%,δ=0.025,α=0.15",,0.7418112451136623,0.428125,0.45,0.025,0.15,0.5429144864662074
Dynamic+Log,"b=45%,δ=0.025,α=0.2",,0.7418112451136623,0.428125,0.45,0.025,0.2,0.5429144864662074
Dynamic+Log,"b=45%,δ=0.025,α=0.25",,0.7418112451136623,0.428125,0.45,0.025,0.25,0.5429144864662074
Dynamic+Log,"b=45%,δ=0.025,α=0.3",,0.7418112451136623,0.428125,0.45,0.025,0.3,0.5429144864662074
Dynamic+Log,"b=50%,δ=0.01,α=0.1",,0.5766947034834067,0.5874999999999999,0.5,0.01,0.1,0.5820467079250485
Dynamic+Log,"b=50%,δ=0.01,α=0.15",,0.5766947034834067,0.5874999999999999,0.5,0.01,0.15,0.5820467079250485
Dynamic+Log,"b=50%,δ=0.01,α=0.2",,0.5766947034834067,0.5874999999999999,0.5,0.01,0.2,0.5820467079250485
Dynamic+Log,"b=50%,δ=0.01,α=0.25",,0.5906701283427804,0.575,0.5,0.01,0.25,0.5827292373277768
Dynamic+Log,"b=50%,δ=0.01,α=0.3",,0.6133956374106622,0.5499999999999999,0.5,0.01,0.3,0.5799700458593956
Dynamic+Log,"b=50%,δ=0.015,α=0.1",,0.6321456374106621,0.5375,0.5,0.015,0.1,0.5809930439511621
Dynamic+Log,"b=50%,δ=0.015,α=0.15",,0.6321456374106621,0.5375,0.5,0.015,0.15,0.5809930439511621
Dynamic+Log,"b=50%,δ=0.015,α=0.2",,0.6756791274256362,0.503125,0.5,0.015,0.2,0.57677228080681
Dynamic+Log,"b=50%,δ=0.015,α=0.25",,0.7168112451136623,0.459375,0.5,0.015,0.25,0.5599196337012952
Dynamic+Log,"b=50%,δ=0.015,α=0.3",,0.7293112451136623,0.440625,0.5,0.015,0.3,0.5493504351970387
Dynamic+Log,"b=50%,δ=0.02,α=0.1",,0.7418112451136623,0.428125,0.5,0.02,0.1,0.5429144864662074
Dynamic+Log,"b=50%,δ=0.02,α=0.15",,0.7418112451136623,0.428125,0.5,0.02,0.15,0.5429144864662074
Dynamic+Log,"b=50%,δ=0.02,α=0.2",,0.7418112451136623,0.428125,0.5,0.02,0.2,0.5429144864662074
Dynamic+Log,"b=50%,δ=0.02,α=0.25",,0.7418112451136623,0.428125,0.5,0.02,0.25,0.5429144864662074
Dynamic+Log,"b=50%,δ=0.02,α=0.3",,0.7418112451136623,0.428125,0.5,0.02,0.3,0.5429144864662074
Dynamic+Log,"b=50%,δ=0.025,α=0.1",,0.7546493235723464,0.40937500000000004,0.5,0.025,0.1,0.5308038589561294
Dynamic+Log,"b=50%,δ=0.025,α=0.15",,0.7612374020310305,0.390625,0.5,0.025,0.15,0.5163083741423719
