season,FFI_rank,FFI_pct,FFI_diff,JFI_rank,JFI_pct,JFI_diff,era,elasticity_rank,elasticity_pct,elasticity_diff
1,1.0,1.0,0.0,1.0,1.0,0.0,"Early
(S1-10)",0.126,0.024,-0.10200000000000001
2,,0.5,,,-0.5,,"Early
(S1-10)",0.045,0.02,-0.024999999999999998
3,1.0,1.0,0.0,,,,"Early
(S1-10)",0.14666666666666664,0.05666666666666667,-0.08999999999999997
4,0.8660254037844387,1.0,0.1339745962155613,0.8660254037844387,0.5,-0.3660254037844387,"Early
(S1-10)",0.1011111111111111,0.04666666666666667,-0.05444444444444443
5,0.5,0.5,0.0,0.5,0.5,0.0,"Early
(S1-10)",0.06,0.074,0.013999999999999999
6,1.0,1.0,0.0,1.0,1.0,0.0,"Early
(S1-10)",0.051111111111111114,0.061111111111111116,0.010000000000000002
7,0.5,0.5,0.0,0.8660254037844387,0.8660254037844387,0.0,"Early
(S1-10)",0.09555555555555556,0.07777777777777778,-0.01777777777777778
8,0.5,1.0,0.5,0.5,-0.5,-1.0,"Early
(S1-10)",0.096,0.08299999999999999,-0.013000000000000012
9,,0.5,,,-0.5,,"Early
(S1-10)",0.23899999999999996,0.225,-0.013999999999999957
10,,0.5,,,-0.5,,"Early
(S1-10)",0.08222222222222222,0.06666666666666668,-0.015555555555555545
11,,-0.5,,,0.5,,"Middle
(S11-20)",0.062,0.047,-0.015
12,0.5,0.5,0.0,0.8660254037844387,0.8660254037844387,0.0,"Middle
(S11-20)",0.03777777777777777,0.061111111111111116,0.023333333333333345
13,1.0,1.0,0.0,1.0,1.0,0.0,"Middle
(S11-20)",0.093,0.10700000000000001,0.014000000000000012
14,0.5,1.0,0.5,0.8660254037844387,0.0,-0.8660254037844387,"Middle
(S11-20)",0.11777777777777779,0.16666666666666666,0.04888888888888887
15,0.8660254037844387,1.0,0.1339745962155613,0.8660254037844387,0.5,-0.3660254037844387,"Middle
(S11-20)",0.21875,0.20875,-0.010000000000000009
16,0.316227766016838,0.3999999999999999,0.0837722339831619,0.888888888888889,0.632455532033676,-0.2564333568552129,"Middle
(S11-20)",0.055,0.05750000000000001,0.002500000000000009
17,0.948683298050514,0.7999999999999999,-0.1486832980505139,0.948683298050514,1.0,0.0513167019494861,"Middle
(S11-20)",0.15111111111111108,0.06777777777777777,-0.08333333333333331
18,0.948683298050514,1.0,0.0513167019494861,0.948683298050514,0.7999999999999999,-0.1486832980505139,"Middle
(S11-20)",0.0625,0.07625,0.013749999999999998
19,1.0,1.0,0.0,1.0,1.0,0.0,"Middle
(S11-20)",0.11200000000000002,0.11000000000000001,-0.0020000000000000018
20,1.0,1.0,0.0,0.8660254037844387,0.8660254037844387,0.0,"Middle
(S11-20)",0.18777777777777777,0.10888888888888891,-0.07888888888888886
21,0.632455532033676,0.3999999999999999,-0.232455532033676,0.0,0.2581988897471611,0.2581988897471611,"Late
(S21-27)",0.19714285714285712,0.17142857142857143,-0.02571428571428569
22,0.8660254037844387,1.0,0.1339745962155613,0.8660254037844387,0.5,-0.3660254037844387,"Late
(S21-27)",0.16499999999999998,0.19125,0.026250000000000023
23,0.316227766016838,0.6000000000000001,0.2837722339831621,0.316227766016838,0.0,-0.316227766016838,"Late
(S21-27)",0.11333333333333334,0.11444444444444445,0.0011111111111111044
24,0.5,0.5,0.0,0.5,0.5,0.0,"Late
(S21-27)",0.2022222222222222,0.15888888888888889,-0.04333333333333331
25,0.948683298050514,1.0,0.0513167019494861,0.888888888888889,0.7378647873726218,-0.1510241015162671,"Late
(S21-27)",0.1125,0.1425,0.029999999999999985
26,0.5,1.0,0.5,0.5,-0.5,-1.0,"Late
(S21-27)",0.12250000000000001,0.205,0.08249999999999998
27,1.0,1.0,0.0,0.948683298050514,0.948683298050514,0.0,"Late
(S21-27)",0.235,0.175,-0.06
28,0.316227766016838,0.7999999999999999,0.4837722339831619,0.316227766016838,-0.6000000000000001,-0.916227766016838,"TikTok
(S28+)",0.21375,0.12875,-0.08499999999999999
29,0.7999999999999999,1.0,0.2,0.7745966692414834,0.2581988897471611,-0.5163977794943223,"TikTok
(S28+)",0.088,0.15299999999999997,0.06499999999999997
30,0.7999999999999999,0.7999999999999999,0.0,0.632455532033676,0.632455532033676,0.0,"TikTok
(S28+)",0.2644444444444444,0.25777777777777783,-0.006666666666666599
31,0.632455532033676,1.0,0.367544467966324,0.7071067811865477,0.0,-0.7071067811865477,"TikTok
(S28+)",0.217,0.279,0.06200000000000003
32,0.4103913408340617,0.3999999999999999,-0.0103913408340617,0.4866642633922876,0.3162277660168379,-0.1704364973754497,"TikTok
(S28+)",0.23199999999999998,0.16199999999999998,-0.07
33,0.8999999999999998,0.8999999999999998,0.0,0.9746794344808964,0.9746794344808964,0.0,"TikTok
(S28+)",0.10714285714285716,0.15,0.04285714285714283
34,0.4999999999999999,1.0,0.4999999999999999,0.6155870112510925,-0.3590924232298039,-0.9746794344808964,"TikTok
(S28+)",0.24666666666666665,0.18777777777777777,-0.05888888888888888
