season,week,cv_mean,cv_std,cv_max,ci_width_mean
14,10,0.5302,0.0335,0.5673,0.6916
15,1,0.6455,0.0459,0.7149,0.1965
15,2,0.6159,0.1065,0.7518,0.1983
15,3,0.5776,0.1126,0.7351,0.2033
15,4,0.5966,0.0667,0.6871,0.2588
15,5,0.8321,0.0287,0.8779,0.4077
15,6,0.2478,0.1037,0.4514,0.106
15,7,0.8045,0.0153,0.8276,0.4505
15,8,0.5002,0.1132,0.5963,0.2616
15,9,0.5332,0.0917,0.6296,0.4091
15,10,0.5264,0.0148,0.5429,0.6879
16,1,0.8622,0.0143,0.8784,0.2817
16,2,0.8414,0.0222,0.8763,0.2749
16,3,0.6285,0.0512,0.6832,0.2253
16,4,0.6058,0.0417,0.6613,0.237
16,5,0.6256,0.0565,0.6783,0.2743
16,6,0.607,0.051,0.6838,0.2995
16,7,0.5779,0.0743,0.7015,0.3234
16,8,0.5591,0.0537,0.6271,0.3642
16,9,0.5541,0.082,0.64,0.4301
16,10,0.5531,0.0403,0.6065,0.5406
17,1,0.8623,0.0206,0.9021,0.2816
17,2,0.6201,0.0413,0.6769,0.2028
17,3,0.6139,0.0535,0.6964,0.2194
17,4,0.613,0.0451,0.682,0.2409
17,5,0.0,0.0,0.0,0.0
17,6,0.8315,0.0227,0.8725,0.4074
17,7,0.5608,0.0993,0.6901,0.2672
17,8,0.5694,0.0746,0.6924,0.3152
17,9,0.4292,0.1099,0.5541,0.2607
17,10,0.5212,0.0425,0.5782,0.4065
17,11,0.5414,0.0117,0.554,0.5306
18,1,0.6347,0.0409,0.686,0.2081
18,2,0.6303,0.0652,0.6998,0.2253
18,3,0.8326,0.0252,0.8549,0.3627
18,4,0.8512,0.0231,0.8952,0.3706
18,5,0.5877,0.0557,0.6785,0.2567
18,6,0.6026,0.0528,0.6576,0.2955
18,7,0.5839,0.0441,0.642,0.3293
18,8,0.5019,0.1224,0.6694,0.3122
18,9,0.51,0.0793,0.6094,0.3938
18,10,0.5745,0.0394,0.6238,0.5609
19,1,0.6605,0.0399,0.7412,0.1992
19,2,0.6287,0.0562,0.7189,0.2039
19,3,0.6127,0.025,0.6583,0.2191
19,4,0.603,0.1261,0.819,0.2302
19,5,0.8353,0.0147,0.8646,0.3639
19,6,0.5843,0.1067,0.7053,0.2482
19,7,0.6016,0.0567,0.6807,0.2947
19,8,0.5554,0.1142,0.7145,0.3045
19,9,0.5514,0.0548,0.6129,0.3573
19,10,0.5458,0.0614,0.6195,0.4286
19,11,0.5756,0.0271,0.6029,0.564
20,1,0.8674,0.0133,0.8867,0.2833
20,2,0.5421,0.1075,0.704,0.1663
20,3,0.6232,0.0547,0.7182,0.2225
20,4,0.6007,0.0886,0.7288,0.2323
20,5,0.5812,0.1035,0.7036,0.2425
20,6,0.5838,0.067,0.6613,0.2822
20,7,0.5733,0.054,0.6497,0.3203
20,8,0.5388,0.0148,0.5598,0.353
20,9,0.3005,0.0892,0.4269,0.2626
20,10,0.5048,0.0141,0.5198,0.6588
21,1,0.8715,0.0236,0.9323,0.2628
21,2,0.6049,0.066,0.7165,0.1821
21,3,0.8576,0.0276,0.9102,0.3361
21,4,0.6259,0.0474,0.6993,0.2463
21,5,0.8475,0.0275,0.9003,0.3691
21,6,0.601,0.0342,0.6438,0.2627
21,7,0.5411,0.1879,0.9515,0.2432
21,8,0.5839,0.0437,0.6322,0.3273
21,9,0.3008,0.1262,0.5346,0.1582
21,10,0.7156,0.0133,0.7331,0.7011
21,11,0.5387,0.0234,0.5717,0.5278
22,1,0.8625,0.0247,0.9034,0.2818
22,2,0.639,0.0352,0.6847,0.2087
22,3,0.6117,0.0404,0.6694,0.2192
22,4,0.6061,0.0735,0.7297,0.2373
22,5,0.8337,0.0222,0.8719,0.363
22,6,0.6036,0.0423,0.6676,0.2645
22,7,0.5308,0.0897,0.661,0.2571
22,8,0.2479,0.1162,0.4472,0.1305
22,9,0.5036,0.0873,0.5837,0.3794
22,10,0.5152,0.0206,0.5302,0.6734
23,1,0.8687,0.0222,0.9069,0.262
23,2,0.6409,0.059,0.7292,0.1933
23,3,0.6371,0.0377,0.6796,0.2086
23,4,0.5666,0.063,0.6822,0.2021
23,5,0.8372,0.0152,0.8577,0.3646
23,6,0.6157,0.05,0.6887,0.2691
23,7,0.5941,0.0631,0.6647,0.2901
23,8,0.5115,0.0845,0.647,0.2769
23,9,0.5605,0.0884,0.6648,0.3624
23,10,0.2738,0.1104,0.4529,0.1822
23,11,0.5541,0.0444,0.598,0.5396
24,1,0.8678,0.0199,0.8983,0.2835
24,2,0.6341,0.0466,0.6943,0.2083
24,3,0.6172,0.0348,0.6938,0.2205
24,4,0.6331,0.0414,0.6957,0.2493
24,5,0.572,0.1079,0.7439,0.2457
24,6,0.241,0.1477,0.5421,0.0944
24,7,0.4112,0.1419,0.6766,0.2121
24,8,0.5668,0.0363,0.6169,0.4445
24,9,0.2823,0.1077,0.4333,0.2376
24,10,0.4937,0.0455,0.5439,0.6416
25,1,0.8696,0.0271,0.9316,0.2623
25,2,0.5864,0.0854,0.7408,0.1744
25,3,0.8682,0.0272,0.9147,0.3095
25,4,0.6168,0.0536,0.6746,0.222
25,5,0.5848,0.0572,0.6542,0.2278
25,6,0.5839,0.0435,0.6372,0.2566
25,7,0.5603,0.1228,0.7779,0.2712
25,8,0.5107,0.0916,0.5878,0.326
25,9,0.5196,0.0814,0.612,0.3984
25,10,0.5675,0.0235,0.5852,0.5557
26,1,0.6035,0.0713,0.7252,0.2389
26,2,0.5131,0.0689,0.6232,0.2493
26,3,0.4655,0.0675,0.5459,0.2913
26,4,0.5085,0.0167,0.523,0.6632
27,1,0.6498,0.0566,0.7187,0.1972
27,2,0.6101,0.047,0.6623,0.1999
27,3,0.6041,0.0411,0.6628,0.2151
27,4,0.4243,0.1516,0.6975,0.1436
27,5,0.8358,0.0188,0.8803,0.364
27,6,0.6114,0.1038,0.7124,0.2609
27,7,0.5497,0.0939,0.6497,0.2666
27,8,0.4365,0.1272,0.598,0.2401
27,9,0.5876,0.0409,0.6216,0.5741
28,1,0.8588,0.0264,0.92,0.2805
28,2,0.6293,0.0554,0.7032,0.2042
28,3,0.8511,0.0318,0.8963,0.3335
28,4,0.6318,0.0441,0.7149,0.249
28,5,0.8384,0.0271,0.8774,0.3652
28,6,0.3753,0.1299,0.6848,0.1554
28,7,0.5873,0.0769,0.6662,0.2856
28,8,0.4166,0.1266,0.5764,0.2113
28,9,0.5557,0.0388,0.6038,0.3638
28,10,0.5376,0.0497,0.5927,0.4171
28,11,0.5426,0.0464,0.6097,0.5301
